Player name,Rating,Won,Draw,Lost,Last Online,Joined
Mikisol7,1330,778,68,730,16-01-2023,11-03-2022
Chzinho,1330,110,10,96,03-10-2022,15-12-2021
twelvesantos,1329,423,16,380,08-02-2022,24-11-2020
aaaa609,1329,174,12,122,02-11-2022,04-05-2020
NaoyaU,1329,256,16,260,16-01-2023,02-10-2015
ronshinji2021,1329,635,52,599,16-01-2023,30-01-2022
moonfish93,1329,54,3,13,16-01-2023,22-12-2021
hiraiimomo,1329,550,42,526,18-03-2022,09-08-2021
Hieukimhuynh,1329,292,27,232,16-01-2023,26-06-2021
cow44,1329,493,32,453,12-06-2022,17-04-2021
secconfi,1329,14,3,13,06-09-2021,11-12-2020
DangArtem,1328,58,4,41,16-01-2023,11-12-2019
NekoChanIsBest,1328,46,7,74,21-07-2021,27-06-2019
JavierUchida1963,1328,2365,302,2390,16-01-2023,17-05-2018
EmpressYuki,1328,23,2,16,25-08-2022,19-02-2018
BroyceAratomin,1328,684,72,598,16-01-2023,24-09-2021
izuukumidoriya,1328,28,4,18,05-02-2022,10-06-2021
blunderboyhangspieces,1328,1107,55,1050,16-01-2023,12-05-2021
Dabsechecs,1328,1532,207,1434,16-01-2023,12-04-2021
TamuraChin,1328,38,5,35,18-05-2021,08-02-2021
tesasa,1327,133,10,126,12-06-2021,20-10-2020
rzxAvarice,1327,211,20,170,16-01-2023,04-10-2020
Chocoholic81,1327,20,14,38,16-01-2023,17-07-2019
Takuya1031,1327,14,2,15,05-11-2022,31-10-2018
yuzantb,1327,3675,164,3574,16-01-2023,12-07-2018
venturi95,1327,152,14,138,23-11-2022,14-06-2017
SamuraiViking,1327,353,21,318,16-01-2023,23-01-2016
RawnaqAf,1327,574,38,556,16-01-2023,02-08-2022
aim1324,1327,191,15,164,16-01-2023,29-09-2014
Sangdewaraja,1327,37,1,17,26-05-2022,18-03-2021
cshambria,1327,9,2,10,16-01-2023,29-06-2013
RorLescolt,1327,254,20,220,16-01-2023,05-01-2021
